From;Installatie;To;Bedrijf
"A.C. Hartman BV, locatie Sexbierum";"A.C. Hartman BV, locatie Sexbierum";"A.C. Hartman BV, locatie Sexbierum";A.C. Hartman
A12/CPP Petrogas E&P Netherlands B.V.;A12/CPP Petrogas E&P Netherlands B.V.;A12/CPP Petrogas E&P Netherlands B.V.;A12/CPP Petrogas E&P
Aardgasbuffer Zuidwending;Aardgasbuffer Zuidwending;Aardgasbuffer Zuidwending;Aardgasbuffer Zuidwending
Aardwarmte Centrale Den Haag;Aardwarmte Centrale Den Haag;Aardwarmte Centrale Den Haag;Aardwarmte Centrale Den Haag
Abbott Healthcare Products BV;Abbott;Abbott;Abbott
Abbott Laboratories B.V.;Abbott;Abbott;Abbott
Academisch Medisch Centrum (AMC);Academisch Medisch Centrum (AMC);Academisch Medisch Centrum (AMC);Academisch Medisch Centrum (AMC)
Academisch Ziekenhuis Groningen;Academisch Ziekenhuis Groningen;Academisch Ziekenhuis Groningen;Academisch Ziekenhuis Groningen
ADM Europoort B.V.;ADM Europoort B.V.;ADM Europoort B.V.;ADM
AGC Flat Glass Nederland BV;AGC Flat Glass Nederland BV;AGC Flat Glass Nederland BV;AGC Flat Glass Nederland
Agristo B.V.;Agristo B.V.;Agristo B.V.;Agristo B.V.
Agro Care Ontwikkeling II;Agro Care;Agro Care;Agro Care
Agro Care WP 17 Exploitatie BV;Agro Care;Agro Care;Agro Care
Agro Care WP11 Exploitatie;Agro Care;Agro Care;Agro Care
Air Liquide Industrie B.V. vest. Bergen op Zoom;Air Liquide;Air Liquide;Air Liquide
"Air Liquide Industrie B.V., vest. Botlek-Rotterdam";Air Liquide;Air Liquide;Air Liquide
Air Liquide Nederland BV - SMR2;Air Liquide;Air Liquide;Air Liquide
"Air Products Nederland B.V., Locatie Botlek";Air Products Nederland B.V.;Air Products Nederland B.V.;Air Products
"Air Products Nederland B.V., Locatie Botlek (Merseyweg)";Air Products Nederland B.V.;Air Products Nederland B.V.;Air Products
Albemarle Catalysts Company B.V.;Albemarle Catalysts Company B.V.;Albemarle Catalysts Company B.V.;Albemarle Catalysts Company
Alco Energy Rotterdam BV;Alco Energy Rotterdam BV;Alco Energy Rotterdam BV;Alco Energy Rotterdam
Aluminium & Chemie Rotterdam B.V.;Aluminium & Chemie Rotterdam B.V.;Aluminium & Chemie Rotterdam B.V.;Aluchemie
Amercentrale;Amercentrale;Amercentrale;RWE
AMS05 - AMS07;AM;AM;AM
AMS10;AM;AM;AM
"AMS15, De President";AM;AM;AM
AMS5;AM;AM;AM
AMS6;AM;AM;AM
AMS7;AM;AM;AM
AMS8;AM;AM;AM
Amsteldijk Beheer B.V.;Amsteldijk Beheer B.V.;Amsteldijk Beheer B.V.;Amsteldijk Beheer
Apollo Vredestein B.V.;Apollo Vredestein B.V.;Apollo Vredestein B.V.;Apollo Vredestein
Ardagh Glass Dongen B.V.;Ardagh Glass;Ardagh Glass;Ardagh Glass
Ardagh Glass Moerdijk B.V.;Ardagh Glass;Ardagh Glass;Ardagh Glass
Asfalt Centrale Nijkerk (ACN) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Centrale Rotterdam (ACR);Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Centrale Utrecht;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Amsterdam (APA) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie De Eem (APE) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Doetinchem;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Hoogblokland;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Nijmegen;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Rasenberg Infra B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Rotterdam Rijnmond (APRR) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Tiel B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Productie Westerbroek b.v.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt Produktie Maatschappij (A.P.M.) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt-Centrale BAM B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Harderwijk;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Harderwijk;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Heijmans Amsterdam;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Heijmans 's-Hertogenbosch;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Heijmans Venlo;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Heijmans Zwijndrecht;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfalt-Centrale Limburg B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
AsfaltCentrale Overbetuwe (ACOB) B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
AsfaltCentrale Stedendriehoek (ACS);Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltcentrale Twente B.V.;Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltproductie Kootstertille (APK);Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Asfaltproductie Regio Amsterdam BV (ARA);Asfalt Centrales;Asfalt Centrales;Asfalt Centrales
Ashland Industries Nederland B.V.;Ashland Industries Nederland B.V.;Ashland Industries Nederland B.V.;Ashland Industries Nederland
Aspen Oss B.V.;Aspen Oss B.V.;Aspen Oss B.V.;Aspen Oss
AVEBE U.A. locatie Foxhol;AVEBE U.A.;AVEBE U.A.;AVEBE
AVEBE U.A. locatie Gasselternijveen;AVEBE U.A.;AVEBE U.A.;AVEBE
AVEBE U.A. locatie Ter Apelkanaal;AVEBE U.A.;AVEBE U.A.;AVEBE
"Aviko B.V., vestiging Lomm";Aviko B.V.;Aviko B.V.;Aviko
"Aviko B.V., vestiging Steenderen";Aviko B.V.;Aviko B.V.;Aviko
B.V. Steenfabriek Hedikhuizen;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
B.V. Steenfabriek Huissenswaard;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
B.V. Steenfabriek Spijk;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
Barendse DC II b.v.;Barendse DC II b.v.;Barendse DC II b.v.;Barendse DC II b.v.
Bavaria N.V.;Bavaria N.V.;Bavaria N.V.;Bavaria
Beekenkamp Plants BV;Beekenkamp Plants BV;Beekenkamp Plants BV;Beekenkamp Plants
Bio Energie Centrale Cuijk;Bio Energie Centrale;Bio Energie Centrale;Bio Energie Centrale
